data,shopping,reach,follower_count
2026-03-06,CS,21588,106
2026-03-07,CS,24905,132
2026-03-08,CS,25399,91
2026-03-09,CS,16874,87
2026-03-10,CS,38602,0
2026-03-11,CS,37307,0
2026-03-06,BS,258049,47
2026-03-07,BS,408350,49
2026-03-08,BS,273025,69
2026-03-09,BS,165290,56
2026-03-10,BS,141348,54
2026-03-11,BS,130906,0
2026-03-06,NK,88403,26
2026-03-07,NK,94789,27
2026-03-08,NK,109258,35
2026-03-09,NK,148063,30
2026-03-10,NK,144395,33
2026-03-11,NK,153808,0
2026-03-06,NS,230711,53
2026-03-07,NS,262895,88
2026-03-08,NS,241505,246
2026-03-09,NS,187831,180
2026-03-10,NS,170840,113
2026-03-11,NS,162767,0
2026-03-06,AJ,9,2
2026-03-07,AJ,14,3
2026-03-08,AJ,15,4
2026-03-09,AJ,9,5
2026-03-10,AJ,11,2
2026-03-11,AJ,16,0
2026-03-06,CS_Residences,28,2
2026-03-07,CS_Residences,7,0
2026-03-08,CS_Residences,3,1
2026-03-09,CS_Residences,0,0
2026-03-10,CS_Residences,4,1
2026-03-11,CS_Residences,8,0
